Day,Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,17,1,ALLE_UN01_0,85,167,0.0,0.0,0.0,0.0
1,17,2,ALLE_UN02_0,85,167,0.0,0.0,0.0,0.0
1,17,3,ALLE_UN03_0,140,270,0.0,0.0,0.0,0.0
1,17,4,ALLE_UN04_0,140,267,0.0,0.0,0.0,0.0
1,17,5,ALLE_UN05_0,140,259,0.0,0.0,0.0,0.0
1,17,6,ASHV_CT03_0,70,185,0.0,0.0,0.0,0.0
1,17,7,ASHV_CT03_1,70,185,0.0,0.0,0.0,0.0
1,17,8,ASHV_CT04_0,70,185,0.0,0.0,0.0,0.0
1,17,9,ASHV_CT04_1,70,185,0.0,0.0,0.0,0.0
1,17,10,BELE_UN01_0,300,1110,0.0,0.0,0.0,0.0
1,17,11,BELE_UN02_0,300,1110,0.0,0.0,0.0,0.0
1,17,12,BLEW_CT01_0,12,68,0.0,0.0,0.0,0.0
1,17,13,BRUN_UN01_0,975,975,975.0,1.0,0.0,0.0
1,17,14,BRUN_UN02_0,953,953,953.0,1.0,0.0,0.0
1,17,15,BRVR_CT01_0,100,178,0.0,0.0,0.0,0.0
1,17,16,BRVR_CT02_0,100,178,0.0,0.0,0.0,0.0
1,17,17,BRVR_CT03_0,100,178,0.0,0.0,0.0,0.0
1,17,18,BRVR_CT04_0,100,178,0.0,0.0,0.0,0.0
1,17,19,BRVR_CT05_0,100,178,0.0,0.0,0.0,0.0
1,17,20,BUCK_CC01_1,150,358,254.0,1.0,0.0,0.0
1,17,21,BUCK_CC01_2,105,358,0.0,0.0,0.0,0.0
1,17,22,CATA_UN01_0,1199,1199,1199.0,1.0,0.0,0.0
1,17,23,CATA_UN02_0,1180,1180,1180.0,1.0,0.0,0.0
1,17,24,CHER_CG01_0,86,86,0.0,0.0,0.0,0.0
1,17,25,CLEM_CT01_0,17,17,0.0,0.0,0.0,0.0
1,17,26,CLEVL_CT04_1,150,358,254.0,1.0,0.0,0.0
1,17,27,CLIF_UN05_0,126,546,0.0,0.0,0.0,0.0
1,17,28,CLIF_UN06_0,310,844,0.0,0.0,0.0,0.0
1,17,29,DANR_CC01_1,150,359,301.0,1.0,0.0,0.0
1,17,30,DANR_CC01_2,150,359,0.0,0.0,0.0,0.0
1,17,31,DCEP_CT12_0,40,133,0.0,0.0,0.0,0.0
1,17,32,DCEP_CT13_0,40,133,0.0,0.0,0.0,0.0
1,17,33,FAYE_CC01_1,60,70,0.0,0.0,0.0,0.0
1,17,34,FAYE_CC01_2,60,70,0.0,0.0,0.0,0.0
1,17,35,FAYE_CC01_3,60,70,0.0,0.0,0.0,0.0
1,17,36,FAYE_CC01_4,40,49,0.0,0.0,0.0,0.0
1,17,37,HARR_UN01_0,980,980,980.0,1.0,0.0,0.0
1,17,38,LCCP_CC01_1,268,324,0.0,0.0,0.0,0.0
1,17,39,LCCP_CC01_2,60,341,341.0,1.0,0.0,0.0
1,17,40,LCCP_CC01_3,60,395,69.90000000000009,1.0,0.0,0.0
1,17,41,LEEC_CT07_0,48,48,0.0,0.0,0.0,0.0
1,17,42,LEEC_CT08_0,48,48,0.0,0.0,0.0,0.0
1,17,43,LEES_CC01_1,177,391,346.1,1.0,0.0,0.0
1,17,44,LEES_CC01_2,177,391,0.0,0.0,0.0,0.0
